,Glottocode,label_,outlier_prob,cluster_prob
778,waru1264,6,0.0,1.0
779,waru1265,6,0.0,1.0
780,waru1266,10,0.0,1.0
781,wath1238,2,0.0,1.0
782,watu1246,8,0.0,1.0
783,waur1244,2,0.0,1.0
784,wawo1239,10,0.0,1.0
785,waya1270,2,0.0,1.0
786,wayu1243,9,0.0,1.0
787,weda1240,2,0.0,1.0
788,wels1247,4,0.0,1.0
789,wers1238,10,0.0,1.0
790,west1508,-1,0.0,0.0
791,west2369,2,0.0,1.0
792,west2386,2,0.0,1.0
793,west2515,12,0.0,1.0
794,west2555,11,0.0,1.0
795,west2559,1,0.0,1.0
796,west2560,10,0.0,1.0
797,west2599,14,0.0,1.0
798,west2615,4,0.0,1.0
799,whit1269,12,0.0,1.0
800,wikm1247,2,,0.0
801,winn1245,2,,0.0
802,wipi1242,3,0.0,1.0
803,wira1262,2,0.0,1.0
