"Glottocode","meB","meZ","mFBD","mFBeD","mFBeS","mFBS","mFByD","mFByS","mFeBD","mFeBS","mFeZD","mFeZS","mFyBD","mFyBS","mFyZD","mFyZS","mFZD","mFZeD","mFZeS","mFZS","mFZyD","mFZyS","mMBD","mMBeD","mMBeS","mMBS","mMByD","mMByS","mMeBD","mMeBS","mMeZD","mMeZS","mMyBD","mMyBS","mMyZD","mMyZS","mMZD","mMZeD","mMZeS","mMZS","mMZyD","mMZyS","myB","myZ","weB","weZ","wFBD","wFBeD","wFBeS","wFBS","wFByD","wFByS","wFeBD","wFeBS","wFeZD","wFeZS","wFyBD","wFyBS","wFyZD","wFyZS","wFZD","wFZeD","wFZeS","wFZS","wFZyD","wFZyS","wMBD","wMBeD","wMBeS","wMBS","wMByD","wMByS","wMeBD","wMeBS","wMeZD","wMeZS","wMyBD","wMyBS","wMyZD","wMyZS","wMZD","wMZeD","wMZeS","wMZS","wMZyD","wMZyS","wyB","wyZ"
andi1255,woc̄i,yec̄i,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,mičʼi woc̄i,mičʼi yec̄i (yoc̄i),woc̄i,yec̄i,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,wacʔal,mičʼi woc̄i,mičʼi yec̄i (yoc̄i)
arch1244,ušdu,došdur,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,t’it̄u ušdu,t’it̄ur došdur,ušdu,došdur,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,šekert̄u,t’it̄u ušdu,t’it̄ur došdur
asut1235,ṃjinåwa ṃbaha,rumbúrya ṃbaha,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa ṃdori,rumbúrya ṃdori,ṃjinåwa ṃbaha,rumbúrya ṃbaha,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa ṃdori,rumbúrya ṃdori
avar1256,vats,jats,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,t'inav vats,t'inay yats,vats,jats,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,вацалав,вацалав,vatsalav,vatsalav,вацалав,vatsalav,вацалав,vatsalav,vatsalav,vatsalav,вацалав,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,vatsalav,t'inav vats,t'inay yats
aves1237,brātar-,xʷaŋhar-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,brātar-,xʷaŋhar-,brātar-,xʷaŋhar-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,tūriyō-puθra-,brātar-,xʷaŋhar-
ayor1240,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,de'saai,i'naamia,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,de'saai,i'naamia
bagv1239,was̄,yas̄,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,mukʼuw was̄,mukʼuy yas̄,was̄,yas̄,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,васса̄б,васса̄б,was̄āb,was̄āb,васса̄б,was̄āb,васса̄б,was̄āb,was̄āb,was̄āb,васса̄б,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,was̄āb,mukʼuw was̄,mukʼuy yas̄
balo1260,braθ,gUhar,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,gUhar,braθ,gUhar,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,naxozatk,trizatk,trizatk,naxozatk,naxozatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,trizatk,braθ,gUhar
bari1297,asari,aša,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,asari,aša,asari,aša,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,sāya sašī,asari,aša
basq1248,a'naie,a'reba,[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],a'naie,a'reba,a'naie,a'reba,[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],[koẓi] ~ [kü'süɲa],a'naie,a'reba
bata1285,ntodu ami,sita,bahangwé ya ndito,ntodu bahangwé ya ndito,ntodu bahangwé ya momo,bahangwé ya momo,ndembé bahangwé ya ndito,ndembé bahangwé ya momo,bahangwé ya ndito da ntodu wa hangwé,bahangwé ya momo da ntodu wa hangwé,banyongwé ya ndito da sita wa hangwé,banyongwé ya momo da sita wa hangwé,bahangwé ya ndito da ndembé wa hangwé,bahangwé ya momo da ndembé wa hangwé,banyongwé ya ndito,banyongwé ya momo,banyongwé ya ndito,ntodu banyongwé ya ndito,ntodu banyongwé ya momo,banyongwé ya momo,ndembé banyongwé ya ndito,ndembé banyongwé ya momo,bahongwé ya ndito,ntodu bahongwé ya ndito,ntodu bahongwé ya momo,bahongwé ya momo,ndembé bahongwé ya ndito,ndembé bahongwé ya momo,bahongwé ya ndito da ntodu wa nyangwé,bahongwé ya momo da ntodu wa nyangwé,banyangwé ya ndito da sita wa nyangwé,banyangwé ya momo da sita wa nyangwé,bahongwé ya ndito da ndembé wa nyangwé,bahongwé ya momo da ndembé wa nyangwé,banyangwé ya ndito,banyangwé ya momo,banyangwé ya ndito,ntodu banyangwé ya ndito,ntodu banyangwé ya momo,banyangwé ya momo,ndembé banyangwé ya ndito,ndembé banyangwé ya momo,ndembé ami,iluhu,ntodu ami,sita,bahangwé ya ndito,ntodu bahangwé ya ndito,ntodu bahangwé ya momo,bahangwé ya momo,ndembé bahangwé ya ndito,ndembé bahangwé ya momo,bahangwé ya ndito da ntodu wa hangwé,bahangwé ya momo da ntodu wa hangwé,banyongwé ya ndito da sita wa hangwé,banyongwé ya momo da sita wa hangwé,bahangwé ya ndito da ndembé wa hangwé,bahangwé ya momo da ndembé wa hangwé,banyongwé ya ndito,banyongwé ya momo,banyongwé ya ndito,ntodu banyongwé ya ndito,ntodu banyongwé ya momo,banyongwé ya momo,ndembé banyongwé ya ndito,ndembé banyongwé ya momo,bahongwé ya ndito,ntodu bahongwé ya ndito,ntodu bahongwé ya momo,bahongwé ya momo,ndembé bahongwé ya ndito,ndembé bahongwé ya momo,bahongwé ya ndito da ntodu wa nyangwé,bahongwé ya momo da ntodu wa nyangwé,banyangwé ya ndito da sita wa nyangwé,banyangwé ya momo da sita wa nyangwé,bahongwé ya ndito da ndembé wa nyangwé,bahongwé ya momo da ndembé wa nyangwé,banyangwé ya ndito,banyangwé ya momo,banyangwé ya ndito,ntodu banyangwé ya ndito,ntodu banyangwé ya momo,banyangwé ya momo,ndembé banyangwé ya ndito,ndembé banyangwé ya momo,ndembé ami,iluhu
batl1238,wac,yac,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,hitʼina wac,hitʼina yac,wac,yac,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,wacħal,hitʼina wac,hitʼina yac
bats1242,waš,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,k̛ac̛k̛ux yaš,waš,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,k̛ac̛k̛ux yaš
baur1253,ni'piri,ni-'piṛ̌i,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,ni'piri,ni-'piṛ̌i,ni'piri,ni-'piṛ̌i,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,mpiri,ni'piri,ni-'piṛ̌i
bela1254,brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,sjastrá,brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,sjastrá
bera1259,homioné,alwané,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moto,homioné,alwané,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moko,moto,moto
bezh1248,is,isi,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,itʼino is,itʼino isi,is,isi,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,itʼino is,itʼino isi
biha1245,bhaiya,didi,pitiaut-bahan,pitiaut-bahan,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,phupheri-bahan,phuphera-bhai,pitiaut-bahan,pitiaut-bhai,phupheri-bahan,phuphera-bhai,phupheri-bahan,phupheri-bahan,phuphera-bhai,phuphera-bhai,phupheri-bahan,phuphera-bhai,mameri-bahan,mameri-bahan,mamera-bhai,mamera-bhai,mameri-bahan,mamera-bhai,mameri-bahan,mamera-bhai,mauseri-bahan,mausera-bhai,mameri-bahan,mamera-bhai,mauseri-bahan,mausera-bhai,mauseri-bahan,mauseri-bahan,mausera-bhai,mausera-bhai,mauseri-bahan,mausera-bhai,bhaiya,behan,bhaiya,didi,pitiaut-bahan,pitiaut-bahan,pitiaut-bhai,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,pitiaut-bahan,pitiaut-bhai,phupheri-bahan,phuphera-bhai,pitiaut-bahan,pitiaut-bhai,phupheri-bahan,phuphera-bhai,phupheri-bahan,phupheri-bahan,phuphera-bhai,phuphera-bhai,phupheri-bahan,phuphera-bhai,mameri-bahan,mameri-bahan,mamera-bhai,mamera-bhai,mameri-bahan,mamera-bhai,mameri-bahan,mamera-bhai,mauseri-bahan,mausera-bhai,mameri-bahan,mamera-bhai,mauseri-bahan,mausera-bhai,mauseri-bahan,mauseri-bahan,mausera-bhai,mausera-bhai,mauseri-bahan,mausera-bhai,bhaiya,behan
bila1255,apua'i a vomia,apua'i a vomia,namami,namami,namami,namami,namami,namami,namami,namami,sono,sono,namami,namami,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,namami,namami,sono,sono,namami,namami,namami,namami,namami,namami,namami,namami,apua'i a motoa,apua'i a motoa,apua'i a vomia,apua'i a vomia,namami,namami,namami,namami,namami,namami,namami,namami,sono,sono,namami,namami,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,sono,namami,namami,sono,sono,namami,namami,namami,namami,namami,namami,namami,namami,apua'i a motoa,apua'i a motoa
bitt1240,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ma kan
