feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
nis-si-yǎʼ,ne-mis-sǎʼ,ne-mis-sǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,n'-dan̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎ,ne-mis-sǎʼ,nis-si-yǎʼ,ne-she-mǎʼ,ne-she-mäʼ,ne-she-mǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-mis-sǎʼ,n'-do-wa-mǎʼ,nis-siʼ-yǎ,n'-do-wa-mǎʼ,ne-kǎ-nisʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,n'-do-wa-mǎʼ,ne-käʼ-nis,ne-she-mǎʼ,ne-käʼ-nis,ne-she-mǎʼ,ne-she-mǎʼ,ojib1241
ʔaχā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxāzʁērā,χātāzʁērtā,ʔaχā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxāzʁērā,χātāzʁērtā,olda1245
wee-teʼ-noo,wee-zǒn̤ʼ-thǎ,wee-zǒnʼ-thä,wee-teʼ-noo,wee-tǒnʼ-ga,wee-sǒnʼ-gä,wee-zhun̤ʼ-ga,we-zhun̤ʼ-ga,wee-zhun̤ʼ-ga,we-zhin̤ʼ-ga,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,wee-näʼ-gee,wee-zǒnʼ-thǎ,we-teʼ-noo,wee-tǒnʼ-ga,wee-sǒn̤ʼ-gä,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,wee-zheʼ-thǎ,wee-tǒuʼ-ga,we-tǒn̤ʼ-ga,wee-teʼ-noo,we-tǒnʼ-ga,wee-sǒnʼ-gä,we-teʼ-zhä,we-toansʼ-kä,we-teʼ-zhä,we-toansʼ-kä,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,wee-näʼ-gee,wee-tǒn̤ʼ-ga,wee-zheʼ-thǎ,wee-tǒnʼ-gä,wee-sǒn̤ʼ-gä,wee-sǒn̤ʼ-gä,wee-tǒnʼ-gä,omah1247
ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,aʔn,ḳayin,nahḳn,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,ḳayin,aʔč,aʔn,onaa1245
läk-jeʼ-hä,ahk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,läk-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ka-gä-ahʼ,läk-jeʼ-hä,ahk-jeʼ-hä,ahk-jeʼ-hä,läk-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,un-gǎ-läʼ-seh,ahk-jeʼ-hä,läk-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-hä,ka-gä-ahʼ,onei1249
kuh-jeʼ-ah,uh-jeʼ-ah,uh-jeʼ-ah,kuh-jeʼ-ah,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,kuh-jeʼ-ah,kaʼ-gǎ,haʼ-gǎ,haʼ-gǎ,kaʼ-gǎ,kuh-jeʼ-ah,uh-jeʼ-ah,uh-jeʼ-ah,kuh-jeʼ-ah,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,kuh-jeʼ-ah,kaʼ-gǎ,haʼ-gǎ,haʼ-gǎ,kaʼ-gǎ,onon1246
ave,hangau,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,ave,hangau,hangau,ave,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,ave,hangau,hangau,ave,onto1237
vatzi,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,voniguat,viniguat,vatzi,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,voniguat,viniguat,opat1246
uparabhāi,attā,daddai-zia-bhauni,daddaipuvabhai,kakkoi-zia-bhauni,kakkoipuvabhai,piusi-zia-bhauni,piusipuabhāi,piusi-zia-bhauni,piusipuabhāi,mamo-zia-bhauni,māmupuabhāi,mamo-zia-bhauni,māmupuabhāi,mausi-zia-bhauni,māuśīpuabhāi,mausi-zia-bhauni,māuśīpuabhāi,sa:nɔbha:i,baḻā,uparabhāi,attā,daddai-zia-bhauni,daddaipuvabhai,kakkoi-zia-bhauni,kakkoipuvabhai,piusi-zia-bhauni,piusipuabhāi,piusi-zia-bhauni,piusipuabhāi,mamo-zia-bhauni,māmupuabhāi,mamo-zia-bhauni,māmupuabhāi,mausi-zia-bhauni,māuśīpuabhāi,mausi-zia-bhauni,māuśīpuabhāi,sa:nɔbha:i,baḻā,oriy1255
we-chinʼ-to,we-shoʼ-la,we-shoʼ-ka,we-chinʼ-to,we-tunʼ-ka,we-sonʼ-kä,we-shonʼ-ka,we-shenʼ-kä,we-shonʼ-ka,we-shénʼ-kä,in-nahʼ,we-jaʼ-ga,in-nahʼ,we-jaʼ-ga,we-shoʼ-la,we-chinʼ-to,we-tunʼ-ka,we-sonʼkä,we-sonʼ-kä,we-tunʼ-ka,we-sheʼ-lä,we-tunʼ-ka,we-tunʼ-ka,we-chinʼ-to,we-tunʼ-ka,we-sonʼ-kä,we-cheʼ-zho,we-choseʼ-kä,we-cheʼ-zho,we-choseʼ-kǎ,in-nahʼ,we-jaʼ-ga,in-nahʼ,we-jaʼ-ga,we-tunʼ-ka,we-sheʼ-lä,we-tunʼ-ka,we-sonʼ-kä,we-sonʼ-kä,we-tunʼ-ka,osag1243
æfsymær,kho,dyuuææfsymæryzænæg,dyuuææfsymæryzænæg,dyuuææfsymæryzænæg,dyuuææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,dyuuækhoiyzænæg,dyuuækhoiyzænæg,dyuuækhoiyzænæg,dyuuækhoiyzænæg,æfsymær,kho,æfsymær,kho,dyuuææfsymæryzænæg,dyuuææfsymæryzænæg,dyuuææfsymæryzænæg,dyuuææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,khoæmææfsymæryzænæg,dyuuækhoiyzænæg,dyuuækhoiyzænæg,dyuuækhoiyzænæg,dyuuækhoiyzænæg,æfsymær,kho,osse1243
hee-yeʼ-nä,heen-tangʼ-a,heen-tängʼ-a,hee-yeʼ-nä,heen-tänʼ-gǎ,e-chunʼ-cha,he-yun̤ʼ-ga,he-neʼ-cha,he-yun̤ʼ-ga,he-neʼ-cha,heʼ-nah,hin-chäʼ-kä,heʼ-nah,hin-chäʼ-kä,heen-tänʼ-ga,he-yeʼ-nä,heen-tänʼ-gǎ,e-chunʼ-che,e-chunʼ-che,heen-tauʼ-gǎ,hee-yeʼ-nä,wau-heʼ-cha,wau-heʼ-cha,hee-yeʼ-nä,heen-tauʼ-gǎ,heen-thunʼ-ga,hin-toseʼ-kee-me,hin-toseʼ-kee,hin-tose-kee-me,hin-teseʼ-kee,heʼ-nah,hin-chäʼ-kä,heʼ-nah,hin-chäʼ-kä,wau-heʼ-cha,he-yeʼ-nä,heen-tan̤ʼ-gǎ,heen-thunʼ-ga,heen-thunʼ-ga,heen-tan̤ʼ-gǎ,otoo1241
n'-sǎʼ-yǎ,n'-misʼ-sǎ,n'-dä-kwamʼ,n'-sǎʼ-yǎ,n'-da-kwamʼ,n'-sheʼ-mǎ,n'-dä-kwamʼ,ne-neʼ-moo-shǎʼ,n'-dä-kwamʼ,ne-neʼ-moo-shǎʼ,n'-dä-kwamʼ,ne-ne-moo-shǎʼ,n'-dä-kwamʼ,ne-ne-moo-shǎ,n'-misʼ-sǎ,n'-sǎʼ-yǎ,n'-sheʼ-mǎ,ne-sheʼ-mǎ,n'-sheʼ-mǎ,n'-sheʼ-mǎ,n'-sǎʼ-yǎ,n'-misʼ-sǎ,n'-dä-wa-mäʼ,n'-sǎʼ-yǎ,n'-dä-wa-mǎʼ,ne-kǎʼ-na,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,n'-dä-wa-mäʼ,ne-käʼ-nǎ,n'-sheʼ-mǎ,ne-käʼ-nǎ,n'-sheʼ-mǎ,n'-sheʼ-mǎ,otta1242
wafaisina,kafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,wafaisina,kafaisina,wafaisina,kafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,kafaisina,wafaisina,wafaisina,kafaisina,owaa1237
yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,paez1247
ciè,ciè,ciè,ciè,ciè,ciè,böru,böru,böru,böru,böru,böru,böru,böru,aajii,aajii,aajii,aajii,aajii,aajii,ciè,ciè,ciè,ciè,ciè,ciè,böru,böru,böru,böru,böru,böru,böru,böru,aajii,aajii,aajii,aajii,aajii,aajii,paic1239
kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,kaka,paiw1248
chochad,chudel,ngalekodám,ngalekodám,ngalekodám,ngalekodám,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngalekdós,ngalekdós,ngalekdós,ngalekdós,chochad,merreng,chudel,chochad,ngalekodám,ngalekodám,ngalekodám,ngalekodám,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngelekiraruchad,ngalekdós,ngalekdós,ngalekdós,ngalekdós,merreng,chochad,pala1344
anna,akka,akka,annan,thankacchi,thanpi,madini,macchan,madini,macchan,madini,macchan,madini,macchan,akka,annan,thankacchi,thanpi,thampi,thankacchi,anna,akka,akka,annan,thankacchi,thanpi,madini,macchan,madini,macchan,madini,macchan,madini,macchan,akka,annan,thankacchi,thanpi,thampi,thankacchi,pali1274
capatátálaláqui,capatátábabaí,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,capatátálaláqui,capatátábabaí,capatátálaláqui,capatátábabaí,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,písan,capatátálaláqui,capatátábabaí,pamp1243
papi,patsi,samoppu,papi,samoppu,tami,samoppu,papi,samoppu,tami,samoppu,papi,samoppu,tami,samoppu,papi,samoppu,tami,tami,nammi,papi,patsi,samoppu,papi,samoppu,tami,samoppu,papi,samoppu,tami,samoppu,papi,samoppu,tami,samoppu,papi,samoppu,tami,tami,nammi,pana1305
jeṭṭhā,vaddiipàìn,patreri-bhain,patrer-bhāi,patreri-bhain,patrer-bhāi,phuppheri-bhain,phupperā-bhāī,phuppheri-bhain,phupperā-bhāī,maler-bhain,maler-bhāi,maler-bhain,maler-bhāi,māser-bhain,māmerā-bhāi,māser-bhain,māmerā-bhāi,bīr,chotiipàìn,jeṭṭhā,vaddiipàìn,patreri-bhain,patrer-bhāi,patreri-bhain,patrer-bhāi,phuppheri-bhain,phupperā-bhāī,phuppheri-bhain,phupperā-bhāī,maler-bhain,maler-bhāi,maler-bhain,maler-bhāi,māser-bhain,māmerā-bhāi,māser-bhain,māmerā-bhāi,bīr,chotiipàìn,panj1256
lɑlɑ,mʌšrɑxor,kakáloer,tarbúr,kakáloer,tarbúr,ploranaiyétèrprā,ploranaitèrpir,ploranaiyétèrprā,ploranaitèrpir,nyoiyelīr,nyoiyezyai,nyoiyelīr,nyoiyezyai,mèranaiyétèrprā,mèranaitèrpir,mèranaiyétèrprā,mèranaitèrpir,kʌšʌrror,kʌšrɑxor,lɑlɑ,mʌšrɑxor,kakáloer,tarbúr,kakáloer,tarbúr,ploranaiyétèrprā,ploranaitèrpir,ploranaiyétèrprā,ploranaitèrpir,nyoiyelīr,nyoiyezyai,nyoiyelīr,nyoiyezyai,mèranaiyétèrprā,mèranaitèrpir,mèranaiyétèrprā,mèranaitèrpir,kʌšʌrror,kʌšrɑxor,pash1269
ta-läʼ-lik-tis,a-täʼ-he,a-täʼ-he,ta-läʼ-lik-tis,a-täʼ-he,käʼ-we-ta,a-teʼ-rä,ah-teʼ-ase,a-teʼ-rä,ah-teʼ-ase,peʼ-row,peʼ-row,peʼ-row,peʼ-row,a-täʼ-he,ta-läʼ-lik-tis,a-täʼ-he,kä-weʼ-ta,käʼ-we-ta,a-täʼ-he,a-däʼ-de,a-täʼ-he,a-täʼ-he,ta-läʼ-lik-tis,a-täʼ-ke,a-däʼ-de,a-teʼ-rä,a-teʼ-ase,a-teʼ-rä,ah-teʼ-ase,peʼ-row,peʼ-row,peʼ-row,peʼ-row,a-täʼ-he,a-däʼ-de,a-täʼ-ke,a-däʼ-he,a-däʼ-de,a-täʼ-ke,pawn1254
sia'ang,sia'ang,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,tuai,tuai,sia'ang,sia'ang,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,sampesuwu,tuai,tuai,pend1242
tua-hine,tua-kana,tua-kana,tua-hine,teina,tua-hine,tua-kana,tua-hine,teina,tua-hine,tua-kana,tua-hine,teina,tua-hine,tua-kana,tua-hine,teina,tua-hine,tua-hine,teina,tua-kana,tua-ngane,tua-ngane,tua-kana,tua-ngane,teina,tua-ngane,tua-kana,tua-ngane,teina,tua-ngane,tua-kana,tua-ngane,teina,tua-ngane,tua-kana,tua-ngane,teina,teina,tua-ngane,penr1237
ne-sanʼ-zä,ne-mis-säʼ,ne-mis-säʼ,ne-sanʼ-zä,ne-sheʼ-mä,ne-sheʼ-mä,nin-däʼ-nä,nin̤-gwa-säʼ,nin-däʼ-nä,nin̤-gwa-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-mis-säʼ,ne-sanʼ-zä,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sanʼ-zä,ne-misʼ-säʼ,ne-mis-säʼ,ne-sanʼ-zä,ne-sheʼ-mä,ne-sheʼ-mä,ne-sheʼ-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,ne-sheʼ-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,nin̤-ge-ahʼ,ne-zheʼ-sä,nin̤-ge-ahʼ,ne-zheʼ-sä,ne-mis-säʼ,ne-sanʼ-zä,ne-sheʼ-mä,ne-sheʼ-mä,ne-she-mäʼ,ne-she-mäʼ,peor1238
mukulu,mukulu,m'mue,m'mue,m'mue,m'mue,isoni,m'mue,isoni,m'mue,isoni,isoni,isoni,isoni,m'mue,m'mue,m'mue,m'mue,mukombo,mukombo,mukulu,mukulu,m'mue,m'mue,m'mue,m'mue,isoni,m'mue,isoni,m'mue,isoni,isoni,isoni,isoni,m'mue,m'mue,m'mue,m'mue,mukombo,mukombo,phen1239
neese-säʼ,nee-misʼ-tä,nee-misʼ-tä,neese-säʼ,ne-sisʼ-sä,nis-kunʼ-ä,neʼ-misʼ-tä,n'-doʼ-te-ke-manʼ,neʼ-sisʼ-sä,n'-do-to-ke-manʼ,ne-wäʼ-toase,n'-doʼ-to-ke-manʼ,ne-wäʼ-toase,n'-do-to-ke-manʼ,nee-misʼ-tä,neese-säʼ,ne-sisʼ-sä,nis-kunʼ-ä,nis-kunʼ-ä,ne-sisʼ-sä,neese-säʼ,nee-misʼ-tä,nee-misʼ-tä,neese-säʼ,ne-sisʼ-sä,nis-kunʼ-ä,neʼ-tä-kame,n'-to-tes-tä-moʼ,neʼ-tä-kame,n'-toʼ-tes-ta-mo,n'-do-to-ke-manʼ,n'-to-tes-tä-moʼ,n'-doʼ-to-ke-manʼ,n'-to-tes-tä-mo,nee-misʼ-tä,neese-säʼ,ne-sisʼ-sä,nis-kunʼ-ä,nis-kunʼ-ä,ne-sisʼ-sä,pieg1239
l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-anoḳ-ole-k,l-anʔo-le,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-a'ḳaya,l-anoḳ-ole-k,l-anʔo-le,pila1245
thungane,thokana,kave,thungane,kave,thungane,kave,thungane,kave,thungane,kave,thungane,kave,thungane,kave,thungane,kave,thungane,thungane,teina,thokana,thuohine,thuohine,kave,thuohine,kave,thuohine,kave,thuohine,kave,thuohine,kave,thuohine,kave,thuohine,kave,thuohine,kave,teina,thuohine,pile1238
thithi,kaku,kaku,thithi,kaku,thithi,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,kaku,thithi,kaku,thithi,wangi,wangi,thithi,kaku,kaku,thithi,kaku,thithi,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,tyarta,yarnti,kaku,thithi,kaku,thithi,wangi,wangi,pitt1247
neese-taseʼ,ne-misʼ,ne-misʼ,neese-taseʼ,ne-seʼ-mis,ne-semeʼ,n'-jäʼ-koase,neeʼ-che-moos,n'-jäʼ-koase,neeʼ-che-moos,n'-jäʼ-koase,neeʼ-che-moos,n'-jäʼ-koase,neeʼ-che-moos,ne-misʼ,neese-taseʼ,ne-shemeʼ,ne-semeʼ,ne-semeʼ,ne-shemeʼ,neese-taseʼ,ne-misʼ,ne-misʼ,neese-taseʼ,ne-seʼ-mis,ne-semeʼ,neeʼ-che-moos,neesʼ-chäs,neeʼ-che-moos,neeseʼ-chäs,neeʼ-che-moos,neest-chäsʼ,neeʼ-che-moos,neest-chäsʼ,ne-misʼ,neese-taseʼ,ne-shemeʼ,ne-semeʼ,ne-semeʼ,ne-shemeʼ,plai1258
brat,siostra,siostrastryjeczna,bratstryjeczny,siostrastryjeczna,bratstryjeczny,siostracioteczna,bratcioteczny,siostracioteczna,bratcioteczny,siostrawujeczna,bratwujeczny,siostrawujeczna,bratwujeczny,siostracioteczna,bratcioteczny,siostracioteczna,bratcioteczny,brat,siostra,brat,siostra,siostrastryjeczna,bratstryjeczny,siostrastryjeczna,bratstryjeczny,siostracioteczna,bratcioteczny,siostracioteczna,bratcioteczny,siostrawujeczna,bratwujeczny,siostrawujeczna,bratwujeczny,siostracioteczna,bratcioteczny,siostracioteczna,bratcioteczny,brat,siostra,poli1260
ton-noʼ-hä,zhon-daʼ-hä,thon-daʼ-hä,ton-noʼ-hä,we-haʼ,kä-gaʼ,win-noʼ-ga,nis-seʼ-hä,win-noʼ-ga,nis-seʼ-hä,näʼ-hä,na-geʼ-hä,näʼ-hä,na-geʼ-hä,zhon-daʼ-hä,ton-noʼ-hä,we-haʼ,kä-gaʼ,kä-gaʼ,we-haʼ,zhin-däʼ-hä,ton-gaʼ-hä,ton-gaʼ-hä,ton-noʼ-hä,we-haʼ,kä-gaʼ,tä-zhäʼ-hä,we-toashʼ-kä,tä-zhäʼ-hä,we-toashʼ-kä,näʼ-hä,na-geʼ-hä,näʼ-hä,na-geʼ-hä,ton-gaʼ-hä,zhin-daʼ-hä,we-haʼ,kä-gaʼ,kä-gaʼ,wee-haʼ,ponc1241
kainga,taina,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,kainga,taina,taina,kainga,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,kaingawakama,taina,taina,kainga,puka1242
mwéngeyáng,pwi-,pwi-,mwéngeyáng,pwi-,mwéngeyáng,yiin,haam,yiin,haam,nawú-,nawú-,nawú-,nawú-,pwi-,mwéngeyáng,pwi-,mwéngeyáng,mwéngeyáng,pwi-,pwi-,mwéngeyáng,mwéngeyáng,pwi-,mwéngeyáng,pwi-,yiin,haam,yiin,haam,nawú-,nawú-,nawú-,nawú-,mwéngeyáng,pwi-,mwéngeyáng,pwi-,pwi-,mwéngeyáng,pulu1242
o-mẽ,o-yĩ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,ayĩ-mãĩ,ayĩ-kaĩ,o-mẽ,o-yĩ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,o-mẽ,ayĩ-mãĩ,ayĩ-kaĩ,pume1238
y'wai-po-knwä,y'waí-po-mu,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y'pu-po-khwä,y'pu-po-mu,y'wai-po-knwä,y'waí-po-mu,y't'-khwä-mǔ,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y't'-khwä-mu,y't'-khwä-sau,y'pu-po-khwǎ,y'pu-po-mu,pwoo1239
taḳsoḳte,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,are-seles,taḳsoḳte,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,are-seles,qawa1238
tua-ngane,tua-kana,tua-kana,tua-ngane,teina,tua-ngane,tua-kana,tua-ngane,teina,tua-ngane,tua-kana,tua-ngane,teina,tua-ngane,tua-kana,tua-ngane,teina,tua-ngane,tua-ngane,teina,tua-kana,tua-hine,tua-hine,tua-kana,tua-hine,teina,tua-hine,tua-kana,tua-hine,teina,tua-hine,tua-kana,tua-hine,teina,tua-hine,tua-kana,tua-hine,teina,teina,tua-hine,raka1237
tu'aane,tua'ana,tua'ana,tu'aane,teina,tu'aane,tua'ana,tu'aane,teina,tu'aane,tua'ana,tu'aane,teina,tu'aane,tua'ana,tu'aane,teina,tu'aane,tu'aane,teina,tua'ana,tauahine,tauahine,tua'ana,tauahine,teina,tauahine,tua'ana,tauahine,teina,tauahine,tua'ana,tauahine,teina,tauahine,tua'ana,tauahine,teina,teina,tauahine,rapa1245
