fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
wocí,ka'ká,papá,su'sú,wocí,ka'ká,papá,su'sú,huar1255
nagyapa,nagyanya,nagyapa,nagyanya,nagyapa,nagyanya,nagyapa,nagyanya,hung1274
pi,pi,pi,pi,pi,pi,pi,pi,hunz1248
maatcwuñ,tcin,chuwe,tcwo,maatcwuñ,tcin,chuwe,tcwo,hupa1239
apo,apo,apo,apo,apo,apo,apo,apo,ibal1244
aki,ini,aki,ini,aki,ini,aki,ini,iban1264
kakay,kako,kakay,kako,kakay,kako,kakay,kako,iban1267
afi,amma,afi,amma,afi,amma,afi,amma,icel1247
inni',inni',inni',inni',inni',inni',inni',inni',idaa1241
kak,kak,kak,kak,kak,kak,kak,kak,idii1243
apo,apo,apo,apo,apo,apo,apo,apo,ifug1247
-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,-'ačuka,c̷ec̷e,igna1246
apong,apong,apong,apong,apong,apong,apong,apong,ilok1237
nátaturi,nátato,nátaturi,nátato,nátaturi,nátato,nátaturi,nátato,inan1242
nénék,nénék,nénék,nénék,nénék,nénék,nénék,nénék,indo1316
embolilla,embodinda,embolilla,embodinda,embolilla,embodinda,embolilla,embodinda,indo1317
äijä,ämmä,äijä,baba,äijä,ämmä,äijä,baba,ingr1248
hee-tooʼ-ga,hee-kooʼ-n'-ye,hee-tooʼ-ga,hee-kooʼ-n'-ye,hee-tooʼ-ga,hee-kooʼ-n'-ye,hee-tooʼ-ga,hee-kooʼ-n'-ye,iowa1245
palakí,akbayi,palakí,akbayi,palakí,akbayi,palakí,akbayi,iray1237
seanathair,seanmhāthair,seanathair,seanmhāthair,seanathair,seanmhāthair,seanathair,seanmhāthair,iris1253
akay,ukoq,akay,ukoq,akay,ukoq,akay,ukoq,isna1241
nonno,nonna,nonno,nonna,nonno,nonna,nonno,nonna,ital1282
ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,ah-meyuweʔne,ahme-yuweʔneʔka,iton1250
xat̄ay,xabay,xat̄ay,xabay,xat̄ay,xabay,xat̄ay,xabay,itsa1239
apo,apo,apo,apo,apo,apo,apo,apo,ivat1242
-tʔek,-eyi,-tʔek,-eyi,-tʔek,-eyi,-tʔek,-eyi,iyoj1235
gran-fāda,gran-māda,gran-fāda,gran-māda,gran-fāda,gran-māda,gran-fāda,gran-māda,jama1262
o-je'-sang,o-bä'-sän,o-je'-sang,o-bä'-sän,o-je'-sang,o-bä'-sän,o-je'-sang,o-bä'-sän,japa1256
simbahkakung,simbahputri,simbahkakung,simbahputri,simbahkakung,simbahputri,simbahkakung,simbahputri,java1254
sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',sìtsóyéˑ',cìtcóˑ',jica1244
!kun!a,tun,!kun!a,tun,!kun!a,tun,!kun!a,tun,juho1239
aamã,a-ái,aamã,a-ái,aamã,a-ái,aamã,a-ái,juru1256
mbue,mbue,mbue,mbue,mbue,mbue,mbue,mbue,kaba1285
peran,pati,peran,pati,peran,pati,peran,pati,kada1242
hene,napa,hene,napa,hene,napa,hene,napa,kada1286
kuku,mama,kuku,mama,kuku,mama,kuku,mama,kagu1239
che-ramõi,cheradjý,che-ramõi,cheradjý,che-ramõi,cheradjý,che-ramõi,cheradjý,kaiw1246
atei,kaiad,atei,kaiad,atei,kaiad,atei,kaiad,kala1377
basd,aps,basd,aps,basd,aps,basd,aps,kala1397
a-ta-ga,a-na-ga,a-ta-ga,a-na-ga,a-ta-ga,a-na-ga,a-ta-ga,a-na-ga,kala1399
mutyu,papi,tyatyi,mutyu,mutyu,papi,tyatyi,mutyu,kalk1246
ieramôi,ierarúí,ieramôi,ierarúí,ieramôi,ierarúí,ieramôi,ierarúí,kama1373
umãã,usua,umãã,usua,umãã,usua,umãã,usua,kamb1297
