fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
unga-nyo,ponungaan,ponungaan,ponungaan,ponungaan,unga-nyo,ponungaan,ponungaan,ponungaan,ponungaan,unga-nyo,ponungaan,ponungaan,ponungaan,ponungaan,unga-nyo,ponungaan,ponungaan,ponungaan,ponungaan,tomi1243
mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mwana,mujwa,mujwa,mwana,mwana,mwana,mujwa,mujwa,tong1321
tama,faka-fotu,faka-fotu,tama,tama,tama,faka-fotu,faka-fotu,tama,tama,ofefine,ofefine,foha,ilamutu,fahu,foha,ofefine,foha,ilamutu,fahu,tong1325
rinté,paanakenwewéné,paanakentuama,paanakenwewéné,paanakentuama,rinté,paanakenwewéné,paanakentuama,paanakenwewéné,paanakentuama,rinté,paanakenwewéné,paanakentuama,paanakenwewéné,paanakentuama,rinté,paanakenwewéné,paanakentuama,paanakenwewéné,paanakentuama,tons1240
gel,gel,boi,gel,boi,boi,gel,boi,gel,boi,gel,gel,boi,gel,boi,boi,gel,boi,gel,boi,torr1261
biyə,mbesə,nip,mbesə,nip,bir,mbesə,nip,mbesə,nip,biyə,mbesə,nip,mbesə,nip,bir,mbesə,nip,mbesə,nip,tosk1239
anak,poguanakan,poguanakan,poguanakan,poguanakan,anak,poguanakan,poguanakan,poguanakan,poguanakan,anak,poguanakan,poguanakan,poguanakan,poguanakan,anak,poguanakan,poguanakan,poguanakan,poguanakan,toto1304
-čiča,-čehi,-čera,-čehi,-čera,-čiča,-čehi,-čera,-čehi,-čera,-čiča,-čehi,-čera,-čehi,-čera,-čiča,-čehi,-čera,-čehi,-čera,trin1274
-atadi,uauetʔadi,uauepatʔte,uauetʔadi,uauepatʔte,-faxlo,uauetʔadi,uauepatʔte,uauetʔadi,uauepatʔte,-atadi,uauetʔadi,uauepatʔte,uauetʔadi,uauepatʔte,-faxlo,uauetʔadi,uauepatʔte,uauetʔadi,uauepatʔte,trum1247
ngwana,ngwana,ngwana,ntukulu,ntukulu,ngwana,ngwana,ngwana,ntukulu,ntukulu,ngwana,ngwana,ngwana,ntukulu,ntukulu,ngwana,ngwana,ngwana,ntukulu,ntukulu,tson1249
tama-hine,tama-iti,tama-iti,tama-hine,tama-hine,tama-iti,tama-iti,tama-iti,tama-hine,tama-hine,tama-hine,tama-iti,tama-iti,tama-hine,tama-hine,tama-iti,tama-iti,tama-iti,tama-hine,tama-hine,tuam1242
tama-hine,tama-iti,tama-iti,tama-hine,tama-hine,tama-iti,tama-iti,tama-iti,tama-hine,tama-hine,tama-hine,tama-iti,tama-iti,tama-hine,tama-hine,tama-iti,tama-iti,tama-iti,tama-hine,tama-hine,tubu1240
ana,ompu,ompu,ompu,ompu,ana,ompu,ompu,ompu,ompu,ana,ompu,ompu,ompu,ompu,ana,ompu,ompu,ompu,ompu,tuka1249
membýra,peng,penga,membycunhã,membyra-taycê,membýra,peng,penga,membycunhã,membyra-taycê,taiyra,taiyra,tayra,ietipera,riýr,tayra,taiyra,tayra,ietipera,riýr,tupi1274
numsamaang,ksa,ksa,kkhri,kkhri,lasamaang,ksa,ksa,kkhri,kkhri,numsamaang,ksa,ksa,kkhri,kkhri,lasamaang,ksa,ksa,kkhri,kkhri,turu1249
kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-wä-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-wä-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-wä-nä,kä-yäʼ-wä-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-no-nä,kä-yäʼ-wä-nä,kä-yäʼ-wä-nä,tusc1257
tamafafine,tamafafine,tamataane,laamutu,laamutu,tamataane,tamafafine,tamataane,laamutu,laamutu,tamafafine,tamafafine,tamataane,laamutu,laamutu,tamataane,tamafafine,tamataane,laamutu,laamutu,tuva1244
antsil-al,aljun,aljun,aljun,aljun,xitch'uc-al,aljun,aljun,aljun,aljun,antsil-nich'an,nich'ajun,nich'ajun,nich'ajun,nich'ajun,wich'an,nich'ajun,nich'ajun,nich'ajun,nich'ajun,tzel1254
anfeto,anah,anah,anah,anah,anmone,anah,anah,anah,anah,anfeto,anah,anah,anah,anah,anmone,anah,anah,anah,anah,uabm1237
nɩl,agaylennɩlɩz,agaylenpiyez,apaylennɩlɩz,apaylenpiyez,pi,vɩnlennɩlɩz,vɩnlenpiyez,suzer̃lennɩlɩz,suzer̃lenpiyez,nɩl,agaylennɩlɩz,agaylenpiyez,apaylennɩlɩz,apaylenpiyez,pi,vɩnlennɩlɩz,vɩnlenpiyez,suzer̃lennɩlɩz,suzer̃lenpiyez,udmu1245
dočká,plemínnycja,plemínnyk,plemínnycja,plemínnyk,syn,plemínnycja,plemínnyk,plemínnycja,plemínnyk,dočká,plemínnycja,plemínnyk,plemínnycja,plemínnyk,syn,plemínnycja,plemínnyk,plemínnycja,plemínnyk,ukra1253
anakduh,anak,anak,anak,anak,anakaki?,anak,anak,anak,anak,anakduh,anak,anak,anak,anak,anakaki?,anak,anak,anak,anak,umaj1240
anak,manakon,manakon,manakon,manakon,anak,manakon,manakon,manakon,manakon,anak,manakon,manakon,manakon,manakon,anak,manakon,manakon,manakon,manakon,umir1236
maampa,pii'a,pii'a,maampa,maampa,maampa,piinya,piinya,muka,muka,mampa,pii'a,pii'a,maampa,maampa,mampa,piinya,piinya,muka,muka,umpi1239
nin-däʼ-nissʼ,ninʼ-doʼ-zhe-meʼ-quam,ne-nin-gwuhʼ-nis,ninʼ-doʼ-zhe-mis,ninʼ-doʼ-she-mis,ninʼ-gwisʼ,ninʼ-doʼ-zhe-meʼ-quam,ne-nin-gwuhʼ-nis,ninʼ-doʼ-zhe-mis,ninʼ-doʼ-she-mis,nin-däʼ-nissʼ,ninʼ-doʼ-zhe-meʼ-quam,ninʼ-doʼ-zhem,ne-sheʼ-me-sha,ne-nin-gwuhʼ-nis,ninʼ-gwisʼ,ninʼ-doʼ-zhe-meʼ-quam,ninʼ-doʼ-zhem,ne-sheʼ-me-sha,ne-nin-gwuhʼ-nis,uppe1274
nanaqnibini,kemön,kemön,kemön,kemön,nanaqkilaki,kemön,kemön,kemön,kemön,nanaqnibini,kemön,kemön,kemön,kemön,nanaqkilaki,kemön,kemön,kemön,kemön,urak1238
ṣāḥibzādī,bhatījī,bhatīja,bhānji,bhānja,farzand,bhatījī,bhatīja,bhānji,bhānja,ṣāḥibzādī,bhatījī,bhatīja,bhānji,bhānja,farzand,bhatījī,bhatīja,bhānji,bhānja,urdu1245
natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,natuk,metelusuk,metelusuk,natuk,natuk,natuk,metelusuk,metelusuk,urip1239
natuk,natuk,natuk,soguk,natuk,natuk,natuk,natuk,soguk,natuk,natuk,natuk,natuk,soguk,soguk,natuk,natuk,natuk,soguk,soguk,vaoo1237
tuna,tuna,tuna,tuna,tuna,tuna,tuna,tuna,tuna,tuna,tuna,tuna,tuna,babazuna,babazuna,tuna,tuna,tuna,babazuna,babazuna,vari1239
ni'iren̄e,tētē,tētē,tētē,tētē,ni'i'am̄an,tētē,tētē,tētē,tētē,ni'iren̄e,tētē,tētē,tētē,tētē,ni'i'am̄an,tētē,tētē,tētē,tētē,vera1241
nhini,kangku,kangku,ngetha,ngetha,nhini,kangku,kangku,ngetha,ngetha,nhini,kangku,kangku,ngetha,ngetha,nhini,kangku,kangku,ngetha,ngetha,waga1260
mahkó,hwü-mahkó,hwü-mahkü,hõ-mahkó,hõ-mahkü̃,mahkǘ,baü-mahkó,baü-mahkü,bayó-makhó,bayó-makhü̃,mahkó,hwü-mahkó,hwü-mahkü,hõ-mahkó,hõ-mahkü̃,mahkǘ,baü-mahkó,baü-mahkü,bayó-makhó,bayó-makhü̃,waim1255
krapôtt,neveuss,neveu,neveuss,neveu,fi,neveuss,neveu,neveuss,neveu,krapôtt,neveuss,neveu,neveuss,neveu,fi,neveuss,neveu,neveuss,neveu,wall1255
gulinya,jajilinya,gajagaja,gulinya,gulu,gulu,jajilinya,gajagaja,gulinya,gulu,jajilinya,jajilinya,gajagaja,gulinya,gulu,gajagaja,jajilinya,gajagaja,gulinya,gulu,wamb1258
b,tshô,tshô,tsham,tshô,b,tshô,tshô,tsham,tshô,b,tshô,tshô,tsham,tshô,b,tshô,tshô,tsham,tshô,wang1287
arluwa,thitnara,thitnara,arluwa,arluwa,arluwa,thitnara,thitnara,arluwa,arluwa,arluwa,thitnara,thitnara,arluwa,arluwa,arluwa,thitnara,thitnara,arluwa,arluwa,wang1290
-ˀdani-ˀba,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdani,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdani-ˀba,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdani,-ˀdanikʰaʔaẓuu,čʰaunai,-ˀdanikʰaʔaẓuu,čʰaunai,wapi1253
yurntal,ngalapi,kuʈuna,kulu,kuʈuna,katya,ngalapi,kuʈuna,kulu,kuʈuna,kuyurna,kapurlu-,kuʈuna,kulu,kuʈuna,katya,kapurlu-,kuʈuna,kulu,kuʈuna,warl1254
kurduna,ngalapi,ngalapi,kurduna,kurduna,kurduna,ngalapi,ngalapi,kurduna,kurduna,ngalapi,ngalapi,ngalapi,kurduna,kurduna,ngalapi,ngalapi,ngalapi,kurduna,kurduna,warl1254a
chin3,ngalapi,ngalapi,kulkukuna,kulkukuna,chin3,ngalapi,ngalapi,kulkukuna,kulkukuna,chin3,ngalapi,ngalapi,kulkukuna,kulkukuna,chin3,ngalapi,ngalapi,kulkukuna,kulkukuna,warl1255
ngart,ngart,kuparng,warangat-iyar,warangat,kuparng,ngart,kuparng,warangat-iyar,warangat,ngart,ngart,kuparng,warangat-iyar,warangat,kuparng,ngart,kuparng,warangat-iyar,warangat,warr1257
abdomen1,kartikityi,kartikityi,kurlukurlu,kurlukurlu,abdomen1,kartikityi,kartikityi,kurlukurlu,kurlukurlu,abdomen1,kartikityi,kartikityi,kurlukurlu,kurlukurlu,abdomen1,kartikityi,kartikityi,kurlukurlu,kurlukurlu,waru1265
naroŋg,muruwiŋg,muruwiŋg,naroŋg,naroŋg,naroŋg,muruwiŋg,muruwiŋg,naroŋg,naroŋg,naroŋg,naroŋg,naroŋg,muruwiŋg,muruwiŋg,naroŋg,naroŋg,naroŋg,muruwiŋg,muruwiŋg,watu1246
ic̷u-pa-lu,-tami-c̷ũ'wĩ,-ta'mi,-tami-c̷ũ'wĩ,-ta'mi,-tãi,-tami-c̷ũ'wĩ,-ta'mi,-tami-c̷ũ'wĩ,-ta'mi,ic̷u-pa-lu,-tami-c̷ũ'wĩ,-ta'mi,-tami-c̷ũ'wĩ,-ta'mi,-tãi,-tami-c̷ũ'wĩ,-ta'mi,-tami-c̷ũ'wĩ,-ta'mi,waur1244
ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,wawo1239
-l-ayɨ,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-laʔɨ-tatɨ,-l-ayɨwɛ̃,laʔɨ,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-l-ayɨ,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-laʔɨ-tatɨ,-l-ayɨwɛ̃,laʔɨ,-laʔɨ-tatɨ,-l-ayɨwɛ̃,-laʔɨ-tatɨ,-l-ayɨwɛ̃,waya1270
ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,ta-čon,wayu1243
merch,nith,nai,nith,nai,mab,nith,nai,nith,nai,merch,nith,nai,nith,nai,mab,nith,nai,nith,nai,wels1247
-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,-ol,wers1238
alaba,iloba,iloba,iloba,iloba,semea,iloba,iloba,iloba,iloba,alaba,iloba,iloba,iloba,iloba,semea,iloba,iloba,iloba,iloba,west1508
doxtær,doxtar-e-barãdar,pesar-e-barãdar,doxtar-e-xãhar,pesar-e-xãhar,pesær,doxtar-e-barãdar,pesar-e-barãdar,doxtar-e-xãhar,pesar-e-xãhar,doxtær,doxtar-e-barãdar,pesar-e-barãdar,doxtar-e-xãhar,pesar-e-xãhar,pesær,doxtar-e-barãdar,pesar-e-barãdar,doxtar-e-xãhar,pesar-e-xãhar,west2369
guḍī,bhatījī,bhatījā,bhatījī,bhatījā,bēṭā,bhatījī,bhatījā,bhatījī,bhatījā,guḍī,bhatījī,bhatījā,bhatījī,bhatījā,bēṭā,bhatījī,bhatījā,bhatījī,bhatījā,west2386
tama,fugona,fugona,fugona,fugona,tama,fugona,fugona,fugona,fugona,tama,raimutu,raimutu,raimutu,raimutu,tama,raimutu,raimutu,raimutu,raimutu,west2515
anak,enaken,enaken,enaken,enaken,anak,enaken,enaken,enaken,enaken,anak,enaken,enaken,enaken,enaken,anak,enaken,enaken,enaken,enaken,west2555
ungâ,mangubae,mangwae,mangubae,mangwae,ungâ,mangubae,mangwae,mangubae,mangwae,ungâ,mangubae,mangwae,mangubae,mangwae,ungâ,mangubae,mangwae,mangubae,mangwae,west2559
anak,anakbua,anakbua,anakbua,anakbua,anak,anakbua,anakbua,anakbua,anakbua,anak,anakbua,anakbua,anakbua,anakbua,anak,anakbua,anakbua,anakbua,anakbua,west2560
cìtsì,cìbéjé,cìbéjé,cìdà'á,cìdà'á,cíɣè',cìbéjé,cìbéjé,cìdà'á,cìdà'á,cìtsì,cìbéjé,cìbéjé,cìdà'á,cìdà'á,cíɣè',cìbéjé,cìbéjé,cìdà'á,cìdà'á,west2615
-ɬo's-e,-waʔlaʔ-'ni,-waʔ'laʔ,-waʔlaʔ-'ni,-waʔ'laʔ,-ɬos,-waʔlaʔ-'ni,-waʔ'laʔ,-waʔlaʔ-'ni,-waʔ'laʔ,-ɬo's-e,-waʔlaʔ-'ni,-waʔ'laʔ,-waʔlaʔ-'ni,-waʔ'laʔ,-ɬos,-waʔlaʔ-'ni,-waʔ'laʔ,-waʔlaʔ-'ni,-waʔ'laʔ,wich1264
e-nookʼ,e-nookʼ,e-chooushʼ-ka,e-chäʼ-hˑkun,e-chä-hˑkunʼ,e-nekeʼ,e-nookʼ,e-chooushʼ-ka,e-chäʼ-hˑkun,e-chä-hˑkunʼ,e-nookʼ,e-nookʼ,e-nekeʼ,e-choon̤-zhunkʼ,e-choushʼ-ka,e-nekeʼ,e-nookʼ,e-nekeʼ,e-choon̤-zhunkʼ,e-choushʼ-ka,winn1245
ngatyi?,pultu,katya,urntal,katya,katya,pultu,katya,urntal,katya,ngatyi?,pultu,katya,manantyi?,katya,katya,pultu,katya,manantyi?,katya,wira1265
yidokar,yisalibas,yigau,yisalibas,yigau,yidar,yisalibas,yigau,yisalibas,yigau,yidokar,yisalibas,yigau,yisalibas,yigau,yidar,yisalibas,yigau,yisalibas,yigau,wiyo1248
natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,natu,kalawa,kalawa,natu,natu,natu,kalawa,kalawa,woge1237
ana,pinoana,pinoana,pinoana,pinoana,ana,pinoana,pinoana,pinoana,pinoana,ana,pinoana,pinoana,pinoana,pinoana,ana,pinoana,pinoana,pinoana,pinoana,woli1241
n'-däʼ-nis,n'-doʼ-zha-mis-kwameʼ,n'-de-kwä-timʼ,n'-doʼ-zha-mis-kwameʼ,n'-goʼ-zhim,n'-goʼ-sis,n'-doʼ-zha-mis-kwameʼ,n'-de-kwä-timʼ,n'-doʼ-zha-mis-kwameʼ,n'-goʼ-zhim,n'-däʼ-nis,n'-doʼ-zha-mis-kwameʼ,n'-doʼ-zhim,neesh-timʼ,n'-de-kwä-timʼ,n'-goʼ-sis,n'-doʼ-zha-mis-kwameʼ,n'-doʼ-zhim,neesh-che-misʼ,n'-de-kwä-timʼ,wood1236
e-ne-ahʼ,e-neʼ-ah,he-wä-teh,e-neʼ-ah,e-neʼ-ah,ah-ne-ahʼ,e-neʼ-ah,he-wä-teh,e-neʼ-ah,e-neʼ-ah,e-ne-ahʼ,e-neʼ-ah,ah-ne-ahʼ,ya-shone-dräʼ-ka,ha-shone-dräʼ-ka,ah-ne-ahʼ,e-neʼ-ah,ah-ne-ahʼ,ya-shone-dräʼ-ka,ha-shone-dräʼ-ka,wyan1247
saχenji,jyalxisaχenji,jyalxi,inasaχenji,ina,χaχeji,jyalxisaχenji,jyalxi,inasaχenji,ina,saχenji,jyalxisaχenji,jyalxi,inasaχenji,ina,χaχeji,jyalxisaχenji,jyalxi,inasaχenji,ina,xibe1242
latuò,nêsibò,nêsib,latuò,latu,latu,nêsibò,nêsib,latuò,latu,latuò,latuò,latu,nêsibò,nêsib,latu,latuò,latu,nêsibò,nêsib,yabe1254
kumalji,kumalji,khomaljogho,kumalji,khomaljogho,khomaljogho,kumalji,khomaljogho,kumalji,khomaljogho,kumalji,kumalji,khomaljogho,kumalji,khomaljogho,khomaljogho,kumalji,khomaljogho,kumalji,khomaljogho,yagw1240
anak,kamanakan,kamanakan,kamanakan,kamanakan,anak,kamanakan,kamanakan,kamanakan,kamanakan,anak,kamanakan,kamanakan,kamanakan,kamanakan,anak,kamanakan,kamanakan,kamanakan,kamanakan,yaka1277
kunkuyu,kunkuyu,kunkuyu,ngatharti,ngatharti,kunkuyu,kunkuyu,kunkuyu,ngatharti,ngatharti,kunkuyu,kunkuyu,kunkuyu,ngatharti,ngatharti,kunkuyu,kunkuyu,kunkuyu,ngatharti,ngatharti,yala1262
ma-kipa,yamana-kipa,yamana-maku,yamana-kipa,yamana-maku,maku,yamana-kipa,yamana-maku,yamana-kipa,yamana-maku,ma-kipa,yamana-kipa,yamana-maku,yamana-kipa,yamana-maku,maku,yamana-kipa,yamana-maku,yamana-kipa,yamana-maku,yama1264
ngathalki,ngathalki,ngathalki,kayakaya,kayakaya,ngathalki,ngathalki,ngathalki,kayakaya,kayakaya,ngathalki,ngathalki,ngathalki,kayakaya,kayakaya,ngathalki,ngathalki,ngathalki,kayakaya,kayakaya,yand1253
ngathani,ngathalki,ngathalki,ngathani,ngathani,ngathani,ngathalki,ngathalki,ngathani,ngathani,ngathalki,ngathalki,ngathalki,ngathani,ngathani,ngathalki,ngathalki,ngathalki,ngathani,ngathani,yand1253a
kalhukulha,kathakatha,kathakatha,artiyarti,artiyarti,kalhukulha,kathakatha,kathakatha,artiyarti,artiyarti,kalhukulha,kathakatha,kathakatha,artiyarti,artiyarti,kalhukulha,kathakatha,kathakatha,artiyarti,artiyarti,yany1243
tanimi,tanihinaľi,tanihinaľi,tanihinaľi,tanihinaľi,tain-tani,tanihinaľi,tanihinaľi,tanihinaľi,tanihinaľi,tanimi,tanihinaľi,tanihinaľi,tanihinaľi,tanihinaľi,tain-tani,tanihinaľi,tanihinaľi,tanihinaľi,tanihinaľi,yavi1244
tp:ee,kee,mbópó,w:ââ,w:ââ,tp:ee,kee,mbópó,w:ââ,w:ââ,tp:ee,kee,kee,chênê,chênê,tp:ee,kee,kee,chênê,chênê,yele1255
jaŋ,yayango,yayango,yang,yang,jaŋ,yayango,yayango,yang,yang,jaŋ,yang,yang,woga,woga,jaŋ,yang,yang,woga,woga,yelm1242
kurntat,kurntat,papuyi,kurntat,kurntakarra,manyka,kurntat,papuyi,kurntat,kurntakarra,kurntat,kurntat,papuyi,kurntat,kurntakarra,manyka,kurntat,papuyi,kurntat,kurntakarra,yind1247
thuwa,kon,kon,thuwa,thuwa,thuwa,kon,kon,thuwa,thuwa,kon,kon,kon,thuwa,thuwa,kon,kon,kon,thuwa,thuwa,yiry1245
mwana,mwana,mwana,banabakhazi,banabakhazi,mwana,mwana,mwana,banabakhazi,banabakhazi,mwana,mwana,mwana,banabakhazi,banabakhazi,mwana,mwana,mwana,banabakhazi,banabakhazi,yomb1244
muyumgan,burudhamgan,nyuhgun,burudhamgan,muyum,muyum,burudhamgan,nyuhgun,burudhamgan,muyum,muyumgan,burudhamgan,muyum,burudhamgan,baridhaŋ,muyum,burudhamgan,muyum,burudhamgan,baridhaŋ,yuga1244
mutyumkirrkan,muyumkan,muyum,muyumkan,muyum,mutyumkirr,muyumkan,muyum,muyumkan,muyum,mutyumkirrkan,muyumkan,muyum,muyumkan,muyum,mutyumkirr,muyumkan,muyum,muyumkan,muyum,yugu1249
yijñu,tëë,tëë,tëë,tëë,ëtë̄jñu,tëë,tëë,tëë,tëë,yijñu,shoja,are,shoja,are,ëtë̄jñu,shoja,are,shoja,are,yura1255
rekaha,hoga,hoga,hoga,hoga,rekaha,hoga,hoga,hoga,hoga,rekaha,hoga,hoga,hoga,hoga,rekaha,hoga,hoga,hoga,hoga,zaba1237
mwana,mwihwa,mwihwa,mwihwa,mwihwa,mwana,mwihwa,mwihwa,mwihwa,mwihwa,mwana,mwihwa,mwihwa,mwihwa,mwihwa,mwana,mwihwa,mwihwa,mwihwa,mwihwa,zigu1242
in-do-dä-kä´-zeyä´-me,in-do-dä-kä´-zeyä´-me,in-do-dä´-näyä´-me,in-do-da-kä´-zeyä´-me,in-do-dä´-nä´yä´-me,in-do-dä´näyä´-me,in-do-dä-kä´-zeyä´-me,in-do-dä´-näyä´-me,in-do-da-kä´-zeyä´-me,in-do-dä´-nä´yä´-me,in-do-dä-kä´-zeyä´-me,in-do-dä´-kä´-seyä´-me,in-do-dä´-näyä´-me,in-do-dä´-kä´-zeyä´-me,in-do-dä´-näyä´-me,in-do-dä´näyä´-me,in-do-dä´-kä´-seyä´-me,in-do-dä´-näyä´-me,in-do-dä´-kä´-zeyä´-me,in-do-dä´-näyä´-me,zulu1248
