fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
anak,kamanakan,kamanakan,kamanakan,kamanakan,anak,kamanakan,kamanakan,kamanakan,kamanakan,anak,kamanakan,kamanakan,kamanakan,kamanakan,anak,kamanakan,kamanakan,kamanakan,kamanakan,cent2092
anekmahau,nakanmahau,nakanlai,nakanmahau,nakanlai,aneklai,nakanmahau,nakanlai,nakanmahau,nakanlai,anekmahau,nakanmahau,nakanlai,nakanmahau,nakanlai,aneklai,nakanmahau,nakanlai,nakanmahau,nakanlai,cent2101
-ija,sobrina,sobrino,sobrina,sobrino,lajenapatgon,sobrina,sobrino,sobrina,sobrino,-ija,sobrina,sobrino,sobrina,sobrino,lajenapatgon,sobrina,sobrino,sobrina,sobrino,cham1312
bidda,annabiḍḍa,annakoduku,akkabiḍḍi,akkakoḍukau,koduku,tammuduviḍḍi,tammudukoduku,cellibaḍḍa,celḷikoḍuku,bidda,annabiḍḍa,annakoduku,akkabiḍḍi,akkakoḍukau,koduku,tammuduviḍḍi,tammudukoduku,cellibaḍḍa,celḷikoḍuku,chen1255
a-gwae-tsǐʼ,a-gwae-tsǐʼ,un̤-gǐ-wǐ-nun̤,a-gwae-tsǐʼ,a-gwalʼ-tsǐʼ,a-gwae-tsǐʼ,a-gwae-tsǐʼ,un̤-gǐ-wǐ-nun̤,a-gwae-tsǐʼ,a-gwalʼ-tsǐʼ,a-gwae-tsǐʼ,a-gwae-tsǐʼ,a-gwae-tsǐʼ,un̤-gwä-dun̤ʼ,un̤-gě-wǐ-nun̤,a-gwae-tsǐʼ,a-gwae-tsǐʼ,a-gwae-tsǐʼ,un̤-gwä-dun̤ʼ,un̤-gě-wǐ-nun̤,cher1273
nǎ-tunʼ,nǎ-tunʼ,nǎ-chinʼ-e-tä,nǎ-tunʼ,nä,näʼ,nǎ-tunʼ,nǎ-chinʼ-e-tä,nǎ-tunʼ,nä,nǎ-tunʼ,nǎ-tunʼ,nä,ne-sheʼ-mis,nǎ-chinʼ-e-tä,näʼ,nǎ-tunʼ,nä,ne-sheʼ-mis,nǎ-chinʼ-e-tä,chey1247
suʼ-sohʼ-take,su-sohʼ-take,supʼ-pok-näkʼ-uǐ,su-sohʼ-take,suʼ-soh,suʼ-soh,su-sohʼ-take,supʼ-pok-näkʼ-uǐ,su-sohʼ-take,suʼ-soh,suʼ-sohʼ-take,su-sohʼ-take,suʼ-soh,su-bǐʼ-take,sä-bǐ-yih,suʼ-soh,su-sohʼ-take,suʼ-soh,su-bǐʼ-take,sä-bǐ-yih,chic1270
masola,himolla,micaku,himolla,himolla,oello,himolla,micaku,himolla,himolla,masola,himolla,micaku,himolla,himolla,oello,himolla,micaku,himolla,himolla,chim1301
seyazts’ékui,sareze,saze,sareze,saze,sedÿneyuaze,sareze,saze,sareze,saze,seyazts’ékui,sareze,saze,sareze,saze,sedÿneyuaze,sareze,saze,sareze,saze,chip1261
suhʼ-sǔhʼ-take,suh-sǔhʼ-take,supʼ-uk-nǒkʼ-ne,suh-sǔhʼ-take,suhʼ-sǔh,suhʼ-sǔh,suh-sǔhʼ-take,supʼ-uk-nǒkʼ-ne,suh-sǔhʼ-take,suhʼ-sǔh,suhʼ-sǔhʼ-take,suh-sǔhʼ-take,suhʼ-sǔh,suh-ihʼ-take,suh-aiʼ-yih,suhʼ-sǔh,suh-sǔhʼ-take,suhʼ-sǔh,suh-ihʼ-take,suh-aiʼ-yih,choc1276
mwana-pwo,mwihwa,mwihwa,mwana-pwo,mwana-lunga,mwana-lunga,mwihwa,mwihwa,mwana-pwo,mwana-lunga,mwana-pwo,mwana-pwo,mwana-lunga,mwihwa,mwihwa,mwana-lunga,mwana-pwo,mwana-lunga,mwihwa,mwihwa,chok1245
etirá,naaw,naaw,naaw,naaw,etirá,naaw,naaw,naaw,naaw,etirá,naaw,naaw,naaw,naaw,etirá,naaw,naaw,naaw,naaw,chuu1238
