fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
l-taʔa,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,l-ateʔe,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,l-taʔa,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,l-ateʔe,n-tesḳoʔ,l-asodo,n-tesḳoʔ,l-asodo,toba1269
miatôpee,miatôpee,sesasee,miatôpee,sesasee,mihákee,setotyra,mihákee,setotyra,mihákee,miangakee,miangakee,sesasee,miangakee,sesasee,mihengee,setotyra,mihengee,setotyra,mihengee,toca1235
aia,perwïḍin,mumi,kïṟwïḍin,mumi,av,mun,perwïḍaf,mun,kïṟwïḍaf,aia,perwïḍin,mumi,kïṟwïḍin,mumi,av,mun,perwïḍaf,mun,kïṟwïḍaf,toda1252
tamana,tamana,matuasa,tamana,matuasa,mātua,tuatina,matua,tuatina,matua,tamana,tamana,matuasa,tamana,matuasa,mātua,tuatina,matua,tuatina,matua,toke1240
tama,pinoli,pinoli,pinoli,pinoli,tina,pinoli,pinoli,pinoli,pinoli,tama,pinoli,pinoli,pinoli,pinoli,tina,pinoli,pinoli,pinoli,pinoli,tola1247
uma,lakiˀama,aɸo,lakiˀama,aɸo,ine,lakiˀama,aɸo,lakiˀama,aɸo,uma,lakiˀama,aɸo,lakiˀama,aɸo,ine,lakiˀama,aɸo,lakiˀama,aɸo,toma1248
ama',ito',mui,ito',mui,ina',ito',mui,ito',mui,ama',ito',mui,ito',mui,ina',ito',mui,ito',mui,tomb1243
siama-nyo,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,siina-nyo,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,siama-nyo,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,siina-nyo,ponsiamaan,ponsinaan,ponsiamaan,ponsinaan,tomi1243
taata,taata,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,simwiesu,bamaama,taata,taata,bamaama,taata,bamaama,bamaama,simwiesu,bamaama,simwiesu,bamaama,tong1321
tamai,tamai,mehekitanga,tamai,mehekitanga,fa'ee,fa'eetangata,fa'ee,fa'eetangata,fa'ee,tamai,tamai,mehekitanga,tamai,mehekitanga,fa'ee,fa'eetangata,fa'ee,fa'eetangata,fa'ee,tong1325
-nák,kukma,ó'oš,más,ó'oš,ok,kukma,ó'oš,kukma,ó'oš,-nák,kukma,ó'oš,más,ó'oš,ok,kukma,ó'oš,kukma,ó'oš,tong1329
ama',ito,mui,ito,mui,ina',ito,mui,ito,mui,ama',ito,mui,ito,mui,ina',ito,mui,ito,mui,tons1240
ise,sento,senkati,sento,senkati,nyina,nyinarumi,nyinento,nyinarumi,nyinento,ise,sento,senkati,sento,senkati,nyina,nyinarumi,nyinento,nyinarumi,nyinento,toor1238
tama,lakiama,lakiˀina,lakiama,lakiˀina,bae,lakiama,lakiˀina,lakiama,lakiˀina,tama,lakiama,lakiˀina,lakiama,lakiˀina,bae,lakiama,lakiˀina,lakiama,lakiˀina,tore1237
dadi,ankel,anti,ankel,anti,ama,awa,ama,awa,ama,dadi,ankel,anti,ankel,anti,ama,awa,ama,awa,ama,torr1261
ba'ba,ǰa'ǰa,halə,ǰa'ǰa,halə,nənə,dayə,teze,dayə,teze,ba'ba,ǰa'ǰa,halə,ǰa'ǰa,halə,nənə,dayə,teze,dayə,teze,tosk1239
amangko-,poguamangan,poguinangan,poguamangan,poguinangan,inangko-,poguamangan,poguinangan,poguamangan,poguinangan,amangko-,poguamangan,poguinangan,poguamangan,poguinangan,inangko-,poguamangan,poguinangan,poguamangan,poguinangan,toto1304
tétà,tétà,tétà,tétà,tétà,iyà,mbalo,iyà,mbalo,iyà,tétà,tétà,tétà,tétà,tétà,iyà,mbalo,iyà,mbalo,iyà,tsog1243
tatana,tatanalo'nkulu,hahane,tatanalo'ntsongo,hahane,manana,kokwane,mananalo'nkulu,kokwane,mananalo'tongo,tatana,tatanalo'nkulu,hahane,tatanalo'ntsongo,hahane,manana,kokwane,mananalo'nkulu,kokwane,mananalo'tongo,tson1249
rre,rre-mogolo,rrakgadi,rrangwane,rrakgadi,mme,malome,mme-mogolo,malome,mmangwane,rre,rre-mogolo,rrakgadi,rrangwane,rrakgadi,mme,malome,mme-mogolo,malome,mmangwane,tswa1253
metuataane,metuataane,metuavahine,metuataane,metuavahine,metuavahine,metuataane,metuavahine,metuataane,metuavahine,metuataane,metuataane,metuavahine,metuataane,metuavahine,metuavahine,metuataane,metuavahine,metuataane,metuavahine,tuam1242
metuatane,metuatane,metuavahine,metuatane,metuavahine,metuavahine,metuatane,metuavahine,metuatane,metuavahine,metuatane,metuatane,metuavahine,metuatane,metuavahine,metuavahine,metuatane,metuavahine,metuatane,metuavahine,tubu1240
yeépajké,yeépajkémami,yeéuaméu,yeépajkémami,yeéuaméu,yeépajkó,yeépajkopáume,mengó,yeépajkopáume,mengó,yeépajké,yeépajkémami,yeéuaméu,yeépajkémami,yeéuaméu,yeépajkó,yeépajkopáume,mengó,yeépajkopáume,mengó,tuca1252
ama,lakiama,lakiina,lakiama,lakiina,bai,lakiama,lakiina,lakiama,lakiina,ama,lakiama,lakiina,lakiama,lakiina,bai,lakiama,lakiina,lakiama,lakiina,tula1253
tuba,tuba,aixé,tuba,aixé,cy,tutyra,cyyra,tutyra,cyyra,tuba,tuba,aixé,tuba,aixé,cy,tutyra,cyyra,tutyra,cyyra,tupi1274
awa,awadi,apa,adai,amoi,anu,acha,atung,acha,achi,awa,awadi,apa,adai,amoi,anu,acha,atung,acha,achi,turu1249
ahk-reʼ-ah,ahk-reʼ-ah,ahk-kawʼ-rack,ahk-reʼ-ah,ahk-kawʼ-rack,ohʼ-nä,ahk-räʼ-do-noʼ-re-ah,oh-näʼ,ahk-räʼ-do-noʼ-re-ah,oh-näʼ,ahk-reʼ-ah,ahk-reʼ-ah,ahk-kawʼ-rack,ahk-reʼ-ah,ahk-kawʼ-rack,ohʼ-nä,ahk-räʼ-do-noʼ-re-ah,oh-näʼ,ahk-räʼ-do-noʼ-re-ah,oh-näʼ,tusc1257
tamana,tamana,fakamaatua,tamana,fakamaatua,maatua,laamutu,fakamaatua,laamutu,fakamaatua,tamana,tamana,fakamaatua,tamana,fakamaatua,maatua,laamutu,fakamaatua,laamutu,fakamaatua,tuva1244
amaf,amaf,babaf,amaf,babaf,ainaf,atoniamaf,ainaf,babaf,ainaf,amaf,amaf,babaf,amaf,babaf,ainaf,atoniamaf,ainaf,babaf,ainaf,uabm1237
dʸadʸay,baӡӡɩmagay,baӡӡɩmapay,pokcʸiagay,pokcʸiapay,memi,čužmurt,čužapay,čužmurt,čužapay,dʸadʸay,baӡӡɩmagay,baӡӡɩmapay,pokcʸiagay,pokcʸiapay,memi,čužmurt,čužapay,čužmurt,čužapay,udmu1245
bát'ko,djád'ko,títka,djád'ko,títka,máty,vújko,títka,vújko,títka,bát'ko,djád'ko,títka,djád'ko,títka,máty,vújko,títka,vújko,títka,ukra1253
tama+n,tama+n,hina+n,tama+n,hina+n,hina+n,tama+n,hina+n,tama+n,hina+n,tama+n,tama+n,hina+n,tama+n,hina+n,hina+n,tama+n,hina+n,tama+n,hina+n,umaj1240
mai,manu,tatekāi,manu,tatekāi,tate,manu,tatekāi,manu,tatekāi,mai,manu,tatekāi,manu,tatekāi,tate,manu,tatekāi,manu,tatekāi,umbu1257
ama,wawa,indo,mama,nangnang,ina,wawa,indo,mama,nangnang,ama,wawa,indo,mama,nangnang,ina,wawa,indo,mama,nangnang,umir1236
piipi,piinya,piinya,piipi,piima,muka,kaala,muka,kala,muka,piipi,piinya,piinya,piipi,piima,muka,kaala,muka,kala,muka,umpi1239
tomongk,tomongk,resyongk,tomongk,resyongk,resyongk,metungk,resyongk,metungk,resyongk,tomongk,tomongk,resyongk,tomongk,resyongk,resyongk,metungk,resyongk,metungk,resyongk,unua1237
noʼ-sa,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ninʼ-gah,ne-zhe-shaʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,noʼ-sa,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ne-me-shoʼ-mǎ,ne-ze-gǔsʼ,ninʼ-gah,ne-zhe-shaʼ,ne-noʼ-sha,ne-zhe-shaʼ,ne-noʼ-sha,uppe1274
paq,wa,wa,ma,may,maq,wa,wa,ma,may,paq,wa,wa,ma,may,maq,wa,wa,ma,may,urak1238
bāp,tāyā,phuphī,chachā,phuphī,ammāṇ,mamu,khāla,mamu,khāla,bāp,tāyā,phuphī,chachā,phuphī,ammāṇ,mamu,khāla,mamu,khāla,urdu1245
tatasuk,tatasuk,tasusuk,tatasuk,tasusuk,tasusuk,mituk,tasusuk,mituk,tasusuk,tatasuk,tatasuk,tasusuk,tatasuk,tasusuk,tasusuk,mituk,tasusuk,mituk,tasusuk,urip1239
muany,kuuny,pany,ʔainy,pany,piany,kuk^winy,mawuhny,cinahny,naahpiany,muany,kuuny,pany,ʔainy,pany,piany,kuk^winy,mawuhny,cinahny,naahpiany,utee1244
te,te,mbembe,te,mbembe,mbembe,soguk,mbembe,soguk,mbembe,te,te,mbembe,te,mbembe,mbembe,soguk,mbembe,soguk,mbembe,vaoo1237
tamana,tamana,sinana,tamana,sinana,sinana,tuetana,sinana,tuetana,sinana,tamana,tamana,sinana,tamana,sinana,sinana,tuetana,sinana,tuetana,sinana,vari1239
khotsi,khotsimuhulu,makhadzi,khotsimunene,makhadzi,mme,malume,mmemuhulu,malume,mmane,khotsi,khotsimuhulu,makhadzi,khotsimunene,makhadzi,mme,malume,mmemuhulu,malume,mmane,vend1245
tat,däd’,tädi,däd’,tädi,mam,däd’,tädi,däd’,tädi,tat,däd’,tädi,däd’,tädi,mam,däd’,tädi,däd’,tädi,veps1250
ama-,ama-,vēvē-,ama-,vēvē-,vēvē-,maru-,vēvē-,maru-,vēvē-,ama-,ama-,vēvē-,ama-,vēvē-,vēvē-,maru-,vēvē-,maru-,vēvē-,vera1241
mamwe,mamwelamp,vavwe,mamwe,vavwe,nangk,vimbi,nangk,vimbi,nangk,mamwe,mamwelamp,vavwe,mamwe,vavwe,nangk,vimbi,nangk,vimbi,nangk,vinm1237
dad,kak,bibi,kak,bibi,dei,dakopral,bibi,dakopral,bibi,dad,kak,bibi,kak,bibi,dei,dakopral,bibi,dakopral,bibi,vlax1238
tëmëk,tëmëk,rëtnëk,tëmëk,rëtnëk,rëtnëk,maröuk,rëtnëk,maröuk,rëtnëk,tëmëk,tëmëk,rëtnëk,tëmëk,rëtnëk,rëtnëk,maröuk,rëtnëk,maröuk,rëtnëk,vure1239
ngulinthu,ukuthu,pernawurr,ukuthu,pernawurr,kununthu,pileku,urtiki,pileku,urtiki,ngulinthu,ukuthu,pernawurr,ukuthu,pernawurr,kununthu,pileku,urtiki,pileku,urtiki,waga1260
apu,kiˀama,ina,kiˀama,ina,bae,kiˀama,ina,kiˀama,ina,apu,kiˀama,ina,kiˀama,ina,bae,kiˀama,ina,kiˀama,ina,waia1242
ta,tisnet,at,tisnet,at,ne,suk,unkai,suk,unkai,ta,tisnet,at,tisnet,at,ne,suk,unkai,suk,unkai,wail1244
yim”,y”mk”,w”h”,y”mk”,w”h”,san”,ya,sank”,ya,sank”,yim”,y”mk”,w”h”,y”mk”,w”h”,san”,ya,sank”,ya,sank”,waim1253
kakü,bügü,mehkó,bügü,mehkó,kako,mehkǘ,bügó,mehkǘ,bügó,kakü,bügü,mehkó,bügü,mehkó,kako,mehkǘ,bügó,mehkǘ,bügó,waim1255
yɨɨm,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,noroyon,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,yɨɨm,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,noroyon,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,waiw1244
mama,mama,tyurtu,mama,tyurtu,yaku,kamparnu,yaku,kamparnu,yaku,mama,mama,tyurtu,mama,tyurtu,yaku,kamparnu,yaku,kamparnu,yaku,waja1257
pér,mônok,matantt,mônok,matantt,mér,mônok,matantt,mônonk,matantt,pér,mônok,matantt,mônok,matantt,mér,mônok,matantt,mônonk,matantt,wall1255
matua,matua,mahiki-tanga,matua,mahiki-tanga,fae,faetangata,fae,faetangata,fae,matua,matua,mahiki-tanga,matua,mahiki-tanga,fae,faetangata,fae,faetangata,fae,wall1257
'apa,'aku,'amcu,'aku,'amcu,'ai,'azha,'ani,'azha,'ani,'apa,'aku,'amcu,'aku,'amcu,'ai,'azha,'ani,'azha,'ani,wang1287
mama,kaka,pimiri,kaka,pimiri,tilpu,kaka,tilpu,kaka,tilpu,mama,kaka,pimiri,kaka,pimiri,tilpu,kaka,tilpu,kaka,tilpu,wang1288
paapaa,kantoː,koːnti,kantoː,koːnti,kunii,kantoː,koːnti,kantoː,koːnti,paapaa,kantoː,koːnti,kantoː,koːnti,kunii,kantoː,koːnti,kantoː,koːnti,wang1291
mamarnpa,mamaɲ,ŋuɲari,mamaɲ,ŋuɲari,pipirnpa,mamaɲ,ŋuɲari,mamaɲ,ŋuɲari,mamarnpa,kamuɹu,ŋuɲari,kamuɹu,ŋuɲari,pipirnpa,kamuɹu,ŋuɲari,kamuɹu,ŋuɲari,wanm1242
-ˀdarɨ,pʰaapʰai,waʔanɨɨ,pʰaapʰai,waʔanɨɨ,-ˀdaru,tʰaatʰai,maamai,tʰaatʰai,maamai,-ˀdarɨ,pʰaapʰai,waʔanɨɨ,pʰaapʰai,waʔanɨɨ,-ˀdaru,tʰaatʰai,maamai,tʰaatʰai,maamai,wapi1253
kirda,ŋamiɳi,pimiʈi,ŋamiɳi,pimiʈi,kardu,ŋamiɳi,miyalu,ŋamiɳi,miyalu,kirda,ŋamiɳi,pimiʈi,ŋamiɳi,pimiʈi,kardu,ŋamiɳi,miyalu,ŋamiɳi,miyalu,warl1254
kirdana,kirdana,pimirdi,kirdana,pimirdi,ngatina,ngamirni,ngatina,ngamirni,ngatina,kirdana,kirdana,pimirdi,kirdana,pimirdi,ngatina,ngamirni,ngatina,ngamirni,ngatina,warl1254a
pipayi,wananpip,limbayn,wananpip,limbayn,ngirang,ngamayi,pap-pap,ngamayi,pap-pap,pipayi,wananpip,limbayn,wananpip,limbayn,ngirang,ngamayi,pap-pap,ngamayi,pap-pap,warr1257
kaya,gaya,pimu,gaya,pimu,yanga,kalnga,yanga,kalnga,yanga,kaya,gaya,pimu,gaya,pimu,yanga,kalnga,yanga,kalnga,yanga,waru1264
chin3,kampa,kampa,kampa,kampa,chest1,chest1,karnanti,chest1,karnanti,chin3,kampa,kampa,kampa,kampa,chest1,chest1,karnanti,chest1,karnanti,waru1265
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,waru1266
gurrau,tandop,baba-rrang,tandop,baba-rrang,ngardang,tandop,baba-rrang,tandop,baba-rrang,gurrau,tandop,baba-rrang,tandop,baba-rrang,ngardang,tandop,baba-rrang,tandop,baba-rrang,wath1238
lamaŋg,lamaŋg,wagag,lamaŋg,wagag,lenaŋg,esiŋg,lenaŋg,esiŋg,lenaŋg,lamaŋg,lamaŋg,wagag,lamaŋg,wagag,lenaŋg,esiŋg,lenaŋg,esiŋg,lenaŋg,watu1246
pa'pa,pa'pa,a'kɨ,pa'pa,a'kɨ,ma'ma,u'wa,ma'ma,u'wa,ma'ma,pa'pa,pa'pa,a'kɨ,pa'pa,a'kɨ,ma'ma,u'wa,ma'ma,u'wa,ma'ma,waur1244
tama,maama,naina,maama,naina,tina,maama,naina,maama,naina,tama,maama,naina,maama,naina,tina,maama,naina,maama,naina,wawo1239
-l-u,-l-u,yayɛ,-l-u,yayɛ,ɨ,-l-atɨ,ɨ,-l-atɨ,ɨ,-l-u,-l-u,yayɛ,-l-u,yayɛ,ɨ,-l-atɨ,ɨ,-l-atɨ,ɨ,waya1270
ta-ši,ta-ši,te-i,ta-ši,te-i,te-i,ta-ľaɨľa,ta-aʔir̃ɨ,ta-ľaɨľa,ta-aʔir̃ɨ,ta-ši,ta-ši,te-i,ta-ši,te-i,te-i,ta-ľaɨľa,ta-aʔir̃ɨ,ta-ľaɨľa,ta-aʔir̃ɨ,wayu1243
momo,momo,baba,momo,baba,nene,momo,baba,momo,baba,momo,momo,baba,momo,baba,nene,momo,baba,momo,baba,weda1240
tad,ewythr,modryb,ewythr,modryb,mam,ewythr,modryb,ewythr,modryb,tad,ewythr,modryb,ewythr,modryb,mam,ewythr,modryb,ewythr,modryb,wels1247
-pa,-paidem,-yidem,-par,-yar,-ya,-paidem,-yidem,-par,-yar,-pa,-paidem,-yidem,-par,-yar,-ya,-paidem,-yidem,-par,-yar,wers1238
aita,osaba,izeba,osaba,izeba,ama,osaba,izeba,osaba,izeba,aita,osaba,izeba,osaba,izeba,ama,osaba,izeba,osaba,izeba,west1508
pedær,amu,amme,amu,amme,mɑdær,dãi,xãle,dãi,xãle,pedær,amu,amme,amu,amme,mɑdær,dãi,xãle,dãi,xãle,west2369
bāpa,cācā,phophi,cācā,phophi,mātā,māmā,māsī,māmā,māsī,bāpa,cācā,phophi,cācā,phophi,mātā,māmā,māsī,māmā,māsī,west2386
tamana,tamana,jina-ha-vae,tamana,jina-ha-vae,jinana,tojinana,jinana,tojinana,jinana,tamana,tamana,jina-ha-vae,tamana,jina-ha-vae.maha-vae,jinana,tojinana,jinana,tojinana,jinana,west2515
amey,anggam,aya',anggam,aya',iney,anggam,aya',anggam,aya',amey,anggam,aya',anggam,aya',iney,anggam,aya',anggam,aya',west2555
mama,sai,baáy,sai,baáy,mina,sai,baáy,sai,baáy,mama,sai,baáy,sai,baáy,mina,sai,baáy,sai,baáy,west2559
emma',pa',bu',pa',bu',iyang,pa',bu',pa',bu',emma',pa',bu',pa',bu',iyang,pa',bu',pa',bu',west2560
aapa,mae,arombo,mae,arombo,ama,yaake,papa,yaake,papa,aapa,mae,arombo,mae,arombo,ama,yaake,papa,yaake,papa,west2599
cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cìdà'á,cíkàˑ'á,cìdà'á,cíkàˑ'á,cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cìdà'á,cíkàˑ'á,cìdà'á,cíkàˑ'á,west2615
chä-jeʼ-kä,e-unʼ-chä,e-choon̤ʼ-we,e-unʼ-chä,e-choon̤ʼ-we,nä-neʼ-kä,e-takeʼ,e-ooʼ-ne-nekeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,chä-jeʼ-kä,e-unʼ-chä,e-choon̤ʼ-we,e-unʼ-chä,e-choon̤ʼ-we,nä-neʼ-kä,e-takeʼ,e-ooʼ-ne-nekeʼ,e-takeʼ,e-ooʼ-ne-nekeʼ,winn1245
maaraa,papiinpang,pamali,papiinpang,pamali,kuni,kunimpang,ngamurr,kunimpang,ngamurr,maaraa,papiinpang,pamali,papiinpang,pamali,kuni,kunimpang,ngamurr,kunimpang,ngamurr,wira1262
mama,kany,kangkiya,kany,kangkiya,apupaltha,kamuru,kangkiya,kamuru,kangkiya,mama,kany,kangkiya,kany,kangkiya,apupaltha,kamuru,kangkiya,kamuru,kangkiya,wira1265
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,wiwi1237
yidac,yigatck,yibauk,yigatck,yibauk,yidokar,yidjok,yidjul,yidjok,yidjul,yidac,yigatck,yibauk,yigatck,yibauk,yidokar,yidjok,yidjul,yidjok,yidjul,wiyo1248
tama,tama,tina,tama,tina,tina,kalawa,tina,kalawa,tina,tama,tama,tina,tama,tina,tina,kalawa,tina,kalawa,tina,woge1237
ama,pinoama,pinoina,pinoama,pinoina,ina,pinoama,pinoina,pinoama,pinoina,ama,pinoama,pinoina,pinoama,pinoina,ina,pinoama,pinoina,pinoama,pinoina,woli1241
nohˑ-täʼ-we,noʼ-ko-mish,nis-se-goosʼ,noʼ-ko-mish,nis-se-goosʼ,n'-gäʼ-we,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,nohˑ-täʼ-we,noʼ-ko-mish,nis-se-goosʼ,noʼ-ko-mish,nis-se-goosʼ,n'-gäʼ-we,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,wood1236
apu,apu,kami,apu,kami,aka,kawa,pulungku,kawa,pulungku,apu,apu,kami,apu,kami,aka,kawa,pulungku,kawa,pulungku,wulg1239
ʔama,ʔama,ole,ʔama,ole,ʔina,ole,ʔina,ole,ʔina,ʔama,ʔama,ole,ʔama,ole,ʔina,ole,ʔina,ole,ʔina,wuvu1239
hi-eseʼ-tǎ,hi-eseʼ-tǎ,ah-räʼ-hoo,hi-eseʼ-tǎ,ah-räʼ-hoo,ah-nǎʼ-uh,hä-wä-te-noʼ-rä,ah-nǎʼ-uh,hä-wä-te-noʼ-rä,ah-nǎʼ-uh,hi-eseʼ-tǎ,hi-eseʼ-tǎ,ah-räʼ-hoo,hi-eseʼ-tǎ,ah-räʼ-hoo,ah-nǎʼ-uh,hä-wä-te-noʼ-rä,ah-nǎʼ-uh,hä-wä-te-noʼ-rä,ah-nǎʼ-uh,wyan1247
panɛɛ-,duñɛ,dɔtəšʌ̃ʌ̃,duñɛ,dɔtəšʌ̃ʌ̃,mwiñe-,mwɛ̃ɛ̃,duñɛ,mwɛ̃ɛ̃,duñɛ,panɛɛ-,duñɛ,dɔtəšʌ̃ʌ̃,duñɛ,dɔtəšʌ̃ʌ̃,mwiñe-,mwɛ̃ɛ̃,duñɛ,mwɛ̃ɛ̃,duñɛ,xara1244
ame',ambame',guxu',ajyame',guxu',eni',amenaxce',dexeme',naxce',dexeme',ame',ambame',guxu',ajyame',guxu',eni',amenaxce',dexeme',naxce',dexeme',xibe1242
tama,tamasêga,saòàwêsêga,tamasêga,saòàwêsêga,têna,salaŋgwa,tênasêga,salaŋgwa,tênasêga,tama,tamasêga,saòàwêsêga,tamasêga,saòàwêsêga,têna,salaŋgwa,tênasêga,salaŋgwa,tênasêga,yabe1254
evad'a,inata,imota,ivetiki,imotiki,ununu,okota,okota,arara,unatona,evad'a,inata,imota,ivetiki,imotiki,ununu,okota,okota,arara,unatona,yadh1237
kane,kane,kalji,kane,kalji,kanei,kame,kanjima,kame,kanjima,kane,kane,kalji,kane,kalji,kanei,kame,kanjima,kame,kanjima,yagw1240
amma,si'it,si'it,si'it,si'it,ina',si'it,si'it,si'it,si'it,amma,si'it,si'it,si'it,si'it,ina',si'it,si'it,si'it,si'it,yaka1277
nä-tooʼ-tas,na-maghʼ-has,nä-sisʼ-sas,na-maghʼ-has,nä-sisʼ-sas,nä-eetʼ-las,na-kahʼ-kas,nä-maghʼ-has,na-kahʼ-kas,nä-maghʼ-has,nä-tooʼ-tas,na-maghʼ-has,nä-sisʼ-sas,na-maghʼ-has,nä-sisʼ-sas,nä-eetʼ-las,na-kahʼ-kas,nä-maghʼ-has,na-kahʼ-kas,nä-maghʼ-has,yaki1237
karlu,kuriʈi,yimirti,kuriʈi,yimirti,marnu,kurrirti,marnu,kurrirti,marnu,karlu,kuriʈi,yimirti,kuriʈi,yimirti,marnu,kurrirti,marnu,kurrirti,marnu,yala1262
imu,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tanowa,tanowa-kipa,imu,tanowa,tanowa-kipa,tanowa,tanowa-kipa,tapi,tanowa,tanowa-kipa,tanowa,tanowa-kipa,yama1264
ngapardi,ngapiri,parli,ngapiri,parli,ngarndrri,ngama,ngarndrri,ngama,ngarndrri,ngapardi,ngapiri,parli,ngapiri,parli,ngarndrri,ngama,ngarndrri,ngama,ngarndrri,yand1253
ngapiri,ngapiri,parli,ngapiri,parli,ngarndri,ngama,ngarndri,ngama,ngarndri,ngapiri,ngapiri,parli,ngapiri,parli,ngarndri,ngama,ngarndri,ngama,ngarndri,yand1253a
ha-yə,ha-yə,yai-yə,ha-yə,yai-yə,na-yə,šoa-yə,na-yə,šoa-yə,na-yə,ha-yə,ha-yə,yai-yə,ha-yə,yai-yə,na-yə,šoa-yə,na-yə,šoa-yə,na-yə,yano1262
katyakatya,winya,nana,winya,nana,kutyaka,tyakaka,parata,tyatiya,parata,katyakatya,winya,nana,winya,nana,kutyaka,tyakaka,parata,tyatiya,parata,yany1243
mî,kââkââ,m:aam:ââ,kââkââ,m:aam:ââ,piye,kênê,piye,kênê,piye,mî,kââkââ,m:aam:ââ,kââkââ,m:aam:ââ,piye,kênê,piye,kênê,piye,yele1255
ida,ida,ango,ida,ango,bia,woga,bia,woga,bia,ida,ida,ango,ida,ango,bia,woga,bia,woga,bia,yelm1242
ngapil,ngapil,tyutyum,ngapil,tyutyum,mutyam,kalnga,mutyam,kalnga,mutyam,ngapil,ngapil,tyutyum,ngapil,tyutyum,mutyam,kalnga,mutyam,kalnga,mutyam,yidi1250
bimbi,bimbi,jujum,bimbi,jujum,mujam,gainga,mujam,gainga,mujam,bimbi,bimbi,jujum,bimbi,jujum,mujam,gainga,mujam,gainga,mujam,yidi1250a
kunayi,yumini,nyirti,mama,nyirti,kamayi,kurntakarra,yayu,kurntakarra,kamayi,kunayi,yumini,nyirti,mama,nyirti,kamayi,kurntakarra,yayu,kurntakarra,kamayi,yind1247
tata,papankulutu,papanketo,papanleki,papanketo,mama,ngwakhazi,mamankulutu,ngwakhazi,mamanleki,tata,papankulutu,papanketo,papanleki,papanketo,mama,ngwakhazi,mamankulutu,ngwakhazi,mamanleki,yomb1244
papang,papang,ngarruny,papang,ngarruny,watyung,kawang,watyung,kawang,watyung,papang,papang,ngarruny,papang,ngarruny,watyung,kawang,watyung,kawang,watyung,yugu1249
walytya,yina,kurntili,yina,kurntili,tilypu,kaka,tilypu,kaka,tilypu,walytya,yina,kurntili,yina,kurntili,tilypu,kaka,tilypu,kaka,tilypu,yulp1239
tata,choo,lëlë,choo,lëlë,meme,choo,lëlë,choo,lëlë,tata,choo,lëlë,choo,lëlë,meme,choo,lëlë,choo,lëlë,yura1255
tot,netsim,netul,netsim,netul,kok,netsim,netul,netsim,netul,tot,netsim,netul,netsim,netul,kok,netsim,netul,netsim,netul,yuro1248
tate,tatemkulu,mamesangazi,tatemdodo,mamesangazi,mame,mtumba,mamemkulu,mtumba,mamemdodo,tate,tatemkulu,mamesangazi,tatemdodo,mamesangazi,mame,mtumba,mamemkulu,mtumba,mamemdodo,zigu1242
tata,maami,mahaomuto,maami,mahaomuto,maaha,maami,mahaomuto,maami,mahaomuto,tata,maami,mahaomuto,maami,mahaomuto,maaha,maami,mahaomuto,maami,mahaomuto,zinz1238
u-bä'-bä,u-bä-bä-kä´-sa,u-bä´-bä,u-bä-bä-kä´-sa,u-bä´-bä,u-mä´-me,u-mä-lǔ´-mä,u-mä´-mäkä´-ze,u-mä-lǔ´-mä,u-mä´-mäkä´-ze,u-bä'-bä,u-bä-bä-kä´-sa,u-bä´-bä,u-bä-bä-kä´-sa,u-bä´-bä,u-mä´-me,u-mä-lǔ´-mä,u-mä´-mäkä´-ze,u-mä-lǔ´-mä,u-mä´-mäkä´-ze,zulu1248
-tačču,-tačču,kuku,-tačču,kuku,-c̷itta,kʸakʸa,-c̷itta,kʸakʸa,-c̷itta,-tačču,-tačču,kuku,-tačču,kuku,-c̷itta,kʸakʸa,-c̷itta,kʸakʸa,-c̷itta,zuni1245
